Data sampling clock
Time	Stop	Vol1
2 ms		0	
51 ms		0	
105 ms	stop
108 ms		1264	
164 ms		1264	
206 ms		1258	
261 ms		1252	
314 ms		1198	
358 ms		1228	
411 ms		1240	
465 ms		1186	
509 ms		1247	
561 ms		1212	
612 ms		1256	
655 ms		1256	
709 ms		1240	
762 ms		1204	
815 ms		1228	
860 ms		1228	
913 ms		1255	
955 ms		1232	
1008 ms		1235	
1061 ms		1189	
1105 ms		1217	
1160 ms		1219	
1214 ms		1248	
1256 ms		1201	
1311 ms		1194	
1365 ms		1271	
1408 ms		1231	
1462 ms		1241	
1513 ms		1215	
1557 ms		1228	
1610 ms		1333	
1664 ms		1268	
1706 ms		1268	
1760 ms		1246	
1814 ms		1231	
1856 ms		1249	
1909 ms		1281	
1962 ms		1213	
2005 ms		1259	
2059 ms		1212	
2114 ms		1217	
2158 ms		1174	
2210 ms		1188	
2264 ms		1233	
2306 ms		1234	
2359 ms		1240	
2413 ms		1240	
2456 ms		1266	
2508 ms		1256	
2561 ms		1216	
2613 ms		1282	
2657 ms		1259	
2710 ms		1211	
2763 ms		1193	
2805 ms		1193	
2858 ms		1215	
2911 ms		1251	
2964 ms		1222	
3006 ms		1243	
3059 ms		1186	
3113 ms		1215	
3164 ms		1240	
3208 ms		1250	
3262 ms		1215	
3305 ms		1243	
3358 ms		1206	
3412 ms		1208	
3465 ms		1232	
3509 ms		1237	
3563 ms		1233	
3606 ms		1196	
3659 ms		1254	
3713 ms		1262	
3756 ms		1262	
3809 ms		1209	
3864 ms		1241	
3906 ms		1201	
3959 ms		1221	
4015 ms		1215	
4057 ms		1224	
4111 ms		1206	
4164 ms		1322	
4208 ms		1250	
4260 ms		1250	
4313 ms		1196	
4355 ms		1216	
4408 ms		1264	
4463 ms		1231	
4505 ms		1231	
4558 ms		1253	
4610 ms		1242	
4664 ms		1217	
4706 ms		1217	
4759 ms		1208	
4813 ms		1226	
4865 ms		1211	
4908 ms		1232	
4961 ms		1244	
5014 ms		1199	
5057 ms		1195	
5112 ms		1233	
5165 ms		1229	
5208 ms		1240	
5262 ms		1234	
5314 ms		1209	
5356 ms		1210	
5408 ms		1207	
5463 ms		1174	
5506 ms		1215	
5559 ms		1210	
5612 ms		1219	
5656 ms		1248	
5710 ms		1189	
5763 ms		1301	
5806 ms		1301	
5859 ms		1290	
5913 ms		1215	
5955 ms		1219	
6007 ms		1233	
6060 ms		1265	
6114 ms		1264	
6157 ms		1217	
6212 ms		1194	
6256 ms		1225	
6309 ms		1198	
6362 ms		1257	
6414 ms		1238	
6458 ms		1249	
6512 ms		1284	
6555 ms		1181	
6608 ms		1250	
6661 ms		1318	
6705 ms		1318	
6759 ms		1212	
6813 ms		1221	
6856 ms		1221	
6910 ms		1227	
6964 ms		1194	
7007 ms		1244	
7062 ms		1245	
7105 ms		1226	
7160 ms		1253	
7212 ms		1168	
7256 ms		1163	
7310 ms		1214	
7364 ms		1186	
7408 ms		1229	
7462 ms		1201	
7505 ms		1177	
7559 ms		1256	
7612 ms		1234	
7655 ms		1266	
7709 ms		1233	
7762 ms		1224	
7805 ms		1224	
7857 ms		1212	
7910 ms		1259	
7963 ms		1178	
8005 ms		1175	
8060 ms		1229	
8112 ms		1219	
8155 ms		1195	
8209 ms		1208	
8261 ms		1213	
8305 ms		1216	
8359 ms		1200	
8413 ms		1242	
8457 ms		1162	
8511 ms		1223	
8565 ms		1166	
8609 ms		1176	
8665 ms		1170	
8708 ms		1183	
8764 ms		1222	
8807 ms		1222	
8860 ms		1190	
8913 ms		1222	
8955 ms		1196	
9007 ms		1171	
9061 ms		1259	
9114 ms		1213	
9157 ms		1211	
9211 ms		1381	
9265 ms		1199	
9307 ms		1173	
9361 ms		1235	
9412 ms		1199	
9455 ms		1193	
9508 ms		1228	
9563 ms		1243	
9605 ms		1224	
9659 ms		1219	
9710 ms		1251	
9764 ms		1223	
9806 ms		1223	
9859 ms		1220	
9914 ms		1218	
9959 ms		1240	
10012 ms		1145	
10055 ms		1182	
10109 ms		1217	
10164 ms		1196	
10206 ms		1251	
10260 ms		1246	
10314 ms		1228	
10358 ms		1145	
10411 ms		1141	
10455 ms		1179	
10508 ms		1157	
10561 ms		1203	
10614 ms		1205	
10656 ms		1215	
10709 ms		1194	
10763 ms		1212	
10809 ms	stop
10807 ms		1212	
