Data sampling clock
Time	Stop	Vol1
10 ms		0	
50 ms		0	
104 ms	stop
113 ms		1179	
161 ms		1179	
204 ms		1179	
258 ms		1233	
311 ms		1233	
356 ms		1233	
410 ms		1181	
454 ms		1181	
507 ms		1188	
559 ms		1188	
612 ms		1184	
655 ms		1184	
709 ms		1149	
761 ms		1149	
805 ms		1149	
858 ms		1202	
910 ms		1202	
963 ms		1218	
1007 ms		1218	
1062 ms		1194	
1105 ms		1194	
1157 ms		1164	
1211 ms		1164	
1255 ms		1164	
1308 ms		1181	
1362 ms		1181	
1407 ms		1136	
1459 ms		1136	
1514 ms		1220	
1557 ms		1220	
1610 ms		1195	
1663 ms		1195	
1707 ms		1195	
1761 ms		1178	
1804 ms		1178	
1858 ms		1164	
1911 ms		1164	
1954 ms		1207	
2008 ms		1207	
2059 ms		1164	
2112 ms		1164	
2155 ms		1164	
2209 ms		1205	
2263 ms		1205	
2304 ms		1242	
2359 ms		1242	
2411 ms		1195	
2454 ms		1195	
2506 ms		1195	
2559 ms		1172	
2613 ms		1172	
2656 ms		1189	
2710 ms		1189	
2764 ms		1161	
2807 ms		1161	
2862 ms		1195	
2905 ms		1195	
2957 ms		1195	
3010 ms		1210	
3054 ms		1210	
3106 ms		1142	
3162 ms		1142	
3205 ms		1194	
3260 ms		1194	
3313 ms		1222	
3356 ms		1222	
3408 ms		1222	
3462 ms		1205	
3504 ms		1205	
3557 ms		1163	
3610 ms		1163	
3664 ms		1179	
3706 ms		1179	
3760 ms		1204	
3814 ms		1204	
3858 ms		1204	
3912 ms		1222	
3955 ms		1222	
4009 ms		1149	
4062 ms		1149	
4105 ms		1200	
4158 ms		1200	
4210 ms		1152	
4254 ms		1152	
4309 ms		1152	
4361 ms		1188	
4405 ms		1188	
4458 ms		1163	
4512 ms		1163	
4554 ms		1208	
4607 ms		1208	
4661 ms		1193	
4704 ms		1193	
4758 ms		1193	
4811 ms		1184	
4864 ms		1184	
4907 ms		1172	
4961 ms		1172	
5006 ms		1175	
5058 ms		1175	
5110 ms		1175	
5154 ms		1195	
5210 ms		1195	
5254 ms		1209	
5307 ms		1209	
5361 ms		1182	
5406 ms		1182	
5459 ms		1198	
5513 ms		1198	
5555 ms		1198	
5609 ms		1172	
5663 ms		1172	
5705 ms		1199	
5759 ms		1199	
5812 ms		1161	
5856 ms		1161	
5909 ms		1177	
5954 ms		1177	
6007 ms		1177	
6061 ms		1208	
6104 ms		1208	
6158 ms		1176	
6213 ms		1176	
6256 ms		1211	
6309 ms		1211	
6363 ms		1191	
6407 ms		1191	
6461 ms		1191	
6505 ms		1131	
6560 ms		1131	
6604 ms		1208	
6656 ms		1208	
6709 ms		1195	
6754 ms		1195	
6806 ms		1195	
6859 ms		1153	
6911 ms		1153	
6963 ms		1134	
7006 ms		1134	
7059 ms		1193	
7113 ms		1193	
7155 ms		1208	
7209 ms		1208	
7263 ms		1208	
7305 ms		1164	
7359 ms		1164	
7412 ms		1192	
7455 ms		1192	
7508 ms		1166	
7560 ms		1166	
7613 ms		1220	
7655 ms		1220	
7707 ms		1220	
7761 ms		1201	
7805 ms		1201	
7860 ms		1175	
7915 ms		1175	
7958 ms		1185	
8010 ms		1185	
8055 ms		1185	
8110 ms		1123	
8163 ms		1123	
8207 ms		1201	
8260 ms		1201	
8312 ms		1177	
8355 ms		1177	
8408 ms		1144	
8462 ms		1144	
8506 ms		1144	
8560 ms		1249	
8613 ms		1249	
8654 ms		1210	
8708 ms		1210	
8762 ms		1144	
8806 ms		1144	
8859 ms		1222	
8911 ms		1222	
8955 ms		1222	
9008 ms		1172	
9061 ms		1172	
9114 ms		1179	
9157 ms		1179	
9209 ms		1114	
9263 ms		1114	
9306 ms		1114	
9359 ms		1184	
9412 ms		1184	
9455 ms		1236	
9508 ms		1236	
9561 ms		1175	
9613 ms		1175	
9656 ms		1234	
9709 ms		1234	
9754 ms		1234	
9809 ms		1202	
9862 ms		1202	
9906 ms		1207	
9958 ms		1207	
10012 ms		1138	
10055 ms		1138	
10108 ms		1188	
10162 ms		1188	
10205 ms		1188	
10257 ms		1135	
10309 ms		1135	
10364 ms		1212	
10407 ms		1212	
10444 ms	stop
