Data sampling clock
Time	Stop	Vol1
2 ms		0	
53 ms		0	
105 ms	stop
105 ms		1229	
158 ms		1243	
212 ms		1192	
265 ms		1300	
309 ms		1226	
361 ms		1752	
415 ms		1242	
459 ms		1184	
511 ms		1240	
564 ms		1242	
607 ms		1217	
660 ms		1207	
714 ms		1210	
756 ms		1263	
808 ms		1255	
863 ms		1538	
906 ms		1185	
959 ms		1245	
1014 ms		1186	
1058 ms		1256	
1111 ms		1182	
1155 ms		1207	
1209 ms		1258	
1264 ms		1259	
1307 ms		1256	
1362 ms		1095	
1405 ms		1224	
1459 ms		1624	
1511 ms		1236	
1564 ms		1176	
1609 ms		1226	
1662 ms		1297	
1707 ms		1209	
1759 ms		1251	
1815 ms		1254	
1858 ms		1214	
1910 ms		1218	
1963 ms		1237	
2006 ms		1244	
2060 ms		1604	
2112 ms		1247	
2165 ms		1739	
2209 ms		1257	
2263 ms		1264	
2305 ms		1222	
2358 ms		1186	
2411 ms		1230	
2465 ms		1188	
2509 ms		1191	
2562 ms		1744	
2615 ms		1166	
2657 ms		1181	
2711 ms		1212	
2765 ms		1192	
2808 ms		1207	
2861 ms		1228	
2914 ms		1256	
2958 ms		1265	
3011 ms		1177	
3065 ms		1177	
3108 ms		1250	
3162 ms		1266	
3205 ms		1210	
3259 ms		1254	
3312 ms		1214	
3355 ms		1251	
3409 ms		1234	
3462 ms		1321	
3515 ms		1193	
3559 ms		1226	
3611 ms		1259	
3664 ms		1746	
3707 ms		1319	
3760 ms		1165	
3813 ms		1762	
3855 ms		1625	
3908 ms		1205	
3963 ms		1193	
4008 ms		1227	
4061 ms		1229	
4115 ms		1189	
4159 ms		1187	
4212 ms		1247	
4265 ms		1130	
4306 ms		1261	
4360 ms		1168	
4413 ms		1296	
4455 ms		1185	
4507 ms		1310	
4559 ms		1208	
4614 ms		1200	
4657 ms		1589	
4710 ms		1715	
4764 ms		1404	
4807 ms		1243	
4861 ms		1619	
4905 ms		1267	
4959 ms		1189	
5013 ms		1196	
5056 ms		1242	
5108 ms		1694	
5161 ms		1202	
5215 ms		1708	
5258 ms		1192	
5314 ms		1076	
5356 ms		1220	
5409 ms		1251	
5462 ms		1746	
5514 ms		1264	
5556 ms		1453	
5610 ms		1265	
5663 ms		1187	
5715 ms		1619	
5758 ms		1228	
5813 ms		1187	
5858 ms		1194	
5911 ms		1213	
5964 ms		1223	
6007 ms		1215	
6061 ms		1162	
6115 ms		1239	
6159 ms		1197	
6212 ms		1274	
6265 ms		1193	
6308 ms		1203	
6363 ms		1256	
6407 ms		1206	
6460 ms		1246	
6515 ms		1283	
6559 ms		1207	
6611 ms		1229	
6664 ms		1196	
6707 ms		1714	
6762 ms		1228	
6815 ms		1223	
6858 ms		1194	
6911 ms		1259	
6964 ms		1279	
7007 ms		1484	
7060 ms		1212	
7113 ms		1380	
7157 ms		1282	
7210 ms		1597	
7262 ms		1198	
7305 ms		1218	
7359 ms		1192	
7413 ms		1247	
7455 ms		1193	
7508 ms		1257	
7560 ms		1267	
7615 ms		1631	
7660 ms		1276	
7714 ms		1180	
7756 ms		1274	
7809 ms		1326	
7863 ms		1225	
7914 ms		1199	
7957 ms		1204	
8011 ms		1208	
8064 ms		1252	
8108 ms		1196	
8163 ms		1230	
8207 ms		1326	
8260 ms		1604	
8313 ms		1238	
8357 ms		1232	
8409 ms		1262	
8463 ms		1266	
8506 ms		1193	
8561 ms		1233	
8615 ms		1258	
8658 ms		1275	
8710 ms		1358	
8763 ms		1233	
8807 ms		1284	
8861 ms		1200	
8915 ms		1229	
8958 ms		1290	
9012 ms		1212	
9055 ms		1218	
9109 ms		1197	
9164 ms		1201	
9207 ms		1218	
9259 ms		1220	
9312 ms		1254	
9355 ms		1135	
9410 ms		1199	
9464 ms		1252	
9506 ms		1179	
9559 ms		1276	
9613 ms		1626	
9656 ms		1165	
9711 ms		1247	
9765 ms		1280	
9807 ms		1275	
9860 ms		1232	
9913 ms		1248	
9955 ms		1196	
10009 ms		1188	
10062 ms		1262	
10115 ms		1740	
10158 ms		1230	
10211 ms		1248	
10264 ms		1221	
10307 ms		1242	
10360 ms		1202	
10412 ms		1578	
10455 ms		1192	
10501 ms	stop
