Data sampling clock
Time	Stop	Vol1
2 ms		0	
51 ms		0	
103 ms	stop
106 ms		1205	
161 ms		1205	
203 ms		1205	
255 ms		1205	
308 ms		1616	
361 ms		1616	
403 ms		1616	
456 ms		1247	
508 ms		1247	
560 ms		1247	
605 ms		1642	
660 ms		1642	
712 ms		1642	
755 ms		1642	
807 ms		1276	
861 ms		1276	
903 ms		1276	
955 ms		1626	
1009 ms		1626	
1062 ms		1626	
1104 ms		1628	
1156 ms		1628	
1209 ms		1628	
1263 ms		1257	
1307 ms		1257	
1360 ms		1257	
1413 ms		1615	
1455 ms		1615	
1508 ms		1615	
1563 ms		1214	
1605 ms		1214	
1658 ms		1214	
1710 ms		1609	
1753 ms		1609	
1807 ms		1609	
1861 ms		1609	
1904 ms		1219	
1958 ms		1219	
2011 ms		1219	
2062 ms		1598	
2106 ms		1598	
2159 ms		1598	
2212 ms		1416	
2255 ms		1416	
2310 ms		1416	
2353 ms		1596	
2408 ms		1596	
2453 ms		1596	
2507 ms		1584	
2560 ms		1584	
2613 ms		1584	
2657 ms		1248	
2710 ms		1248	
2762 ms		1248	
2804 ms		1248	
2857 ms		1600	
2910 ms		1600	
2963 ms		1600	
3005 ms		1213	
3059 ms		1213	
3112 ms		1213	
3154 ms		1594	
3208 ms		1594	
3261 ms		1594	
3304 ms		1235	
3359 ms		1235	
3403 ms		1235	
3458 ms		1588	
3511 ms		1588	
3554 ms		1588	
3607 ms		1608	
3661 ms		1608	
3703 ms		1608	
3757 ms		1608	
3809 ms		1249	
3853 ms		1249	
3907 ms		1249	
3960 ms		1622	
4003 ms		1622	
4056 ms		1622	
4110 ms		1228	
4161 ms		1228	
4203 ms		1228	
4255 ms		1606	
4309 ms		1606	
4362 ms		1606	
4406 ms		1222	
4459 ms		1222	
4503 ms		1222	
4557 ms		1579	
4612 ms		1579	
4654 ms		1579	
4706 ms		1459	
4759 ms		1459	
4803 ms		1459	
4856 ms		1459	
4910 ms		1604	
4953 ms		1604	
5006 ms		1604	
5058 ms		1641	
5113 ms		1641	
5156 ms		1641	
5212 ms		1038	
5254 ms		1038	
5307 ms		1038	
5360 ms		1613	
5403 ms		1613	
5457 ms		1613	
5512 ms		1231	
5553 ms		1231	
5606 ms		1231	
5660 ms		1634	
5703 ms		1634	
5757 ms		1634	
5810 ms		1634	
5863 ms		1286	
5904 ms		1286	
5956 ms		1286	
6009 ms		1642	
6062 ms		1642	
6105 ms		1642	
6157 ms		1622	
6212 ms		1622	
6254 ms		1622	
6308 ms		1178	
6361 ms		1178	
6406 ms		1178	
6458 ms		1611	
6512 ms		1611	
6554 ms		1611	
6608 ms		1302	
6663 ms		1302	
6705 ms		1302	
6759 ms		1608	
6803 ms		1608	
6855 ms		1608	
6908 ms		1608	
6961 ms		1223	
7004 ms		1223	
7058 ms		1223	
7112 ms		1613	
7156 ms		1613	
7209 ms		1613	
7255 ms		1430	
7308 ms		1430	
7361 ms		1430	
7405 ms		1591	
7459 ms		1591	
7512 ms		1591	
7555 ms		1608	
7609 ms		1608	
7663 ms		1608	
7705 ms		1024	
7758 ms		1024	
7811 ms		1024	
7853 ms		1024	
7906 ms		1609	
7959 ms		1609	
8012 ms		1609	
8054 ms		1254	
8109 ms		1254	
8162 ms		1254	
8204 ms		1600	
8259 ms		1600	
8312 ms		1600	
8357 ms		1198	
8410 ms		1198	
8453 ms		1198	
8505 ms		1596	
8559 ms		1596	
8612 ms		1596	
8656 ms		1614	
8710 ms		1614	
8763 ms		1614	
8806 ms		1614	
8860 ms		1225	
8904 ms		1225	
8957 ms		1225	
9009 ms		1656	
9061 ms		1656	
9105 ms		1656	
9157 ms		1258	
9210 ms		1258	
9253 ms		1258	
9306 ms		1623	
9362 ms		1623	
9404 ms		1623	
9458 ms		1197	
9512 ms		1197	
9556 ms		1197	
9610 ms		1583	
9653 ms		1583	
9706 ms		1583	
9758 ms		1617	
9813 ms		1617	
9856 ms		1617	
9910 ms		1617	
9953 ms		1611	
10006 ms		1611	
10059 ms		1611	
10103 ms		1597	
10157 ms		1597	
10211 ms		1597	
10254 ms		1220	
10307 ms		1220	
10361 ms		1220	
10403 ms		1603	
10457 ms		1603	
10509 ms		1603	
10554 ms		1254	
10599 ms	stop
